gene	CV2_fish	lower_fish	upper_fish	CV2_seq_fpkm	lower_seq_fpkm	upper_seq_fpkm	CV2_seq_count	lower_seq_count	upper_seq_count
ACTA2	1.68301497311933	1.05932011933741	2.52772850360424	4.09757608406339	2.10582352434749	6.9069483430569	1.18311475949908	0.762202200781612	1.6895207428007
ACTN4	0.182445165133447	0.110226324965557	0.258146688477792	0.25192141778199	0.160381312427736	0.35495933000856	0.102159233896579	0.0635066325634726	0.14555142177753
BABAM1	0.10460203127653	0.0651030909023256	0.154299681205166	1.02969071722578	0.657866804208141	1.53555015522218	0.462466381040963	0.293803769889673	0.668723708470571
DNMT1	0.159091035702153	0.0782402416963503	0.255861233415042	0.652794790533427	0.409852751192287	0.983054661189739	0.287299291766227	0.183710912964242	0.406036190348753
EEF2	0.124901058857092	0.0867089671049577	0.167826468430454	0.193187508006995	0.109440611850244	0.291456725675302	0.0657998445370107	0.0415009007196511	0.0942562904244113
FTL	0.527609210891206	0.274715077413643	0.832479331922411	0.408392862526226	0.258674090247347	0.592503168459123	0.189053880243335	0.128896046610583	0.258111351920469
FUCA1	0.538978242651397	0.376105763137255	0.713546448756402	17.6249285629964	4.48240564114153	36.3458854526126	8.29072370873848	3.16001360158322	16.9645889641239
GAPDH	0.199242764818538	0.144089715350171	0.258943084103994	0.0371730710792813	0.0237277185335745	0.0524695315582567	0.039410142543384	0.0279109275218862	0.0515609427646602
GAS6	0.408203755524756	0.302934047548761	0.523544717204193	1.04671766447346	0.670487015756356	1.52133603847213	0.560663422418227	0.324649629551204	0.822254464779311
IER2	0.29222277457517	0.21415052162749	0.387416089479155	0.980225886108152	0.627675000504062	1.43785832107527	0.487003077923969	0.307180682539803	0.721746645002896
KDM5A	0.117296966478967	0.0805694480776599	0.158766902306872	0.774883464661048	0.453238417799517	1.2036943805437	0.344455816705799	0.214084219067862	0.504789577128172
KDM5B	0.291489446206046	0.203082156155651	0.400100626158715	1.40062227438205	0.833710126100477	2.14947684685703	0.55240347032164	0.340436021704787	0.828346840768716
LMNA	0.127389696284735	0.0812418605306572	0.184429182112217	0.280267463731447	0.162163101717639	0.424065745169677	0.148231247975225	0.0806820300477427	0.229213354743659
LUM	0.66149302462875	0.413194068466561	0.945158250365723	1.29917879136309	0.695814110844855	1.97344712994521	0.391618310719051	0.241676655663348	0.557187531077233
MYC	0.495706098307272	0.344185345910212	0.670593202004211	2.0467617491383	1.17879118933232	3.4200665704077	0.993621954347527	0.639636111269126	1.46086831135863
PABPC1	0.0687281423687791	0.0403108091409817	0.106026683045117	0.109532247279399	0.064862474843674	0.163290887452026	0.0912260502483802	0.049571637990372	0.137426463921978
RBM3	0.0992445975935348	0.0689343601975956	0.135482305037507	0.125012109053588	0.0791977207602734	0.180262683873612	0.0872842626645227	0.0528435930746521	0.127034797845885
RND3	0.693228722643377	0.440076165917925	0.972174048586512	0.798768643868287	0.370857934750684	1.37662030940475	0.222335343912097	0.123968717594443	0.34434759843043
SLC1A5	0.159036934297906	0.104903355572998	0.220053710393879	0.410755528967292	0.237067178471037	0.637457406806161	0.172868349502369	0.100943310105535	0.265165778019657
SUPT5H	0.105149528355226	0.0753431154850358	0.139394124621429	0.964799183988282	0.639612131216149	1.3888368580751	0.304099640447088	0.205945574022522	0.419620055408969
TBCB	0.148054409064699	0.102602042338652	0.198877662810694	0.590811664710315	0.386610926916415	0.860847490638361	0.275328267771448	0.171381668359248	0.407714643446913
UBC	0.1499045804951	0.116263973818318	0.189182885951802	0.124155548884184	0.069804588874444	0.188579923748715	0.0580086489837563	0.0376150580752343	0.0813098724582722
USF2	0.166659500415484	0.102611011900214	0.226689805393509	7.15942952449021	3.37419141172321	14.2368976227015	3.13626689166778	1.62371615147867	5.48419661645343
ZNF444	0.17185133354332	0.134006539049699	0.214045662400701	5.06048537760243	2.55085295891242	9.9393066653391	3.52960193778596	1.98057441062259	6.26772140871869
