gene_id	fpkmCrl	fpkmA549
A1BG	8.36309561134816	2.92267330099477
A1BG-AS1	1.12696800064284	0.0895101157302674
A1CF	0.011446929736879	0.0400038902759194
A2M	1.06146286078623	0
A2M-AS1	0.0498654256028696	0.34853206234899
A2ML1	0	0
A2MP1	0	0
A3GALT2	0.106980441568435	0
A4GALT	5.89104265935059	4.82806166599094
A4GNT	0.0615984669211918	0.215269803215553
AA06	0	0
AAAS	25.7164297046496	50.2655581584107
AACS	12.4963390635231	15.7861915397088
AACSP1	0	0.08785711266969
AADAC	0	5.11107792618962
AADACL2	0	0
AADACL3	0	0
AADACL4	0	0
AADAT	1.74147803049273	2.67189790075341
AAED1	17.6894222512716	10.61550320828
AAGAB	22.3586286872215	46.7478509689206
AAK1	1.37395057150434	0.680821280385712
AAMDC	46.8296184921669	13.3208954229784
AAMP	92.5885104476716	124.836674278193
AANAT	0	0.177766002842175
AAR2	16.6455522549922	18.7472631813014
AARD	2.80811665794097	0
AARS	64.2031385384144	122.723351925724
AARS2	7.22990006035017	6.1567163719648
AARSD1	0	0
AASDH	4.22637355872957	3.37460727754712
AASDHPPT	17.1274375457035	20.9961574092479
AASS	5.94168677198851	0.0650926991765173
AATF	29.4644939227808	83.0377229279134
AATK	0.122297686150103	0.178082075652769
AATK-AS1	0	0
ABAT	1.69474970154489	0.0965655477211849
ABCA1	11.5970606230435	2.98593139982567
ABCA10	0.0692456458538656	0.0302493253922347
ABCA11P	4.0292950666843	1.40812848023027
ABCA12	0	0.163434036322103
ABCA13	0.0763271273332558	0.0111142685458795
ABCA17P	0.234992760884681	0.364993538321838
ABCA2	1.55954568621942	3.61819060826987
ABCA3	0.347045201798181	5.42884964127452
ABCA4	0.0748495460595651	0.0523157404927968
ABCA5	2.04031320687472	0.998247167978255
ABCA6	0.0414327903810794	0.0361990690588831
ABCA7	0.160841957637967	2.47323416507817
ABCA8	0.200866362287615	0.0638157297258714
ABCA9	0.0695663299371876	0
ABCB1	0	0
ABCB10	10.4259731899411	13.4159456653306
ABCB11	0.0229420875324768	0
ABCB4	0.302516915324075	0.0480551782935728
ABCB5	0	0
ABCB6	7.84385306288766	30.3310056313232
ABCB7	8.54080399473862	15.6814453625826
ABCB8	6.41710319746364	12.3020441591728
ABCB9	1.78947104725718	1.75885653851906
ABCC1	5.51866436466883	22.8113487800544
ABCC10	5.92359472564011	3.18213231346415
ABCC11	0.0223259716106329	0.039011583854561
ABCC12	0	0
ABCC13	0	0
ABCC2	0.362081568396751	87.2406523822692
ABCC3	4.18790617557024	52.3007015664535
ABCC4	10.5054105643087	24.8122328618178
ABCC5	2.7737891325389	2.49110167272545
ABCC5-AS1	0.233704054756796	0
ABCC6	0.0196297926309782	0.617406832870561
ABCC6P1	0	0
ABCC6P2	0	0.810931133704042
ABCC8	0	0.0779113637840526
ABCC9	0.517184326328705	0.022592723025353
ABCD1	4.2024517301177	1.24990808566534
ABCD2	0	0
ABCD3	27.8543271623599	35.104097589614
ABCD4	4.4076078293871	9.21777339657978
ABCE1	35.1545518842115	38.5518525172404
